Fecha,Consumo_m3,Precipitacion_mm,Poblacion
2005-04-04,1699.17,2.07,100000
2005-04-05,1699.17,2.07,100000
2005-04-06,1699.17,2.07,100000
2005-04-07,1699.17,2.07,100000
2005-04-08,1699.17,2.07,100000
2005-04-09,1699.17,2.07,100000
2005-04-10,1699.17,2.07,100000
2005-04-11,1699.17,2.07,100000
2005-04-12,1699.17,2.07,100000
2005-04-13,1699.17,2.07,100000
2005-04-14,1699.17,2.07,100000
2005-04-15,1699.17,2.07,100000
2005-04-16,1699.17,2.07,100000
2005-04-17,1699.17,2.07,100000
2005-04-18,1699.17,2.07,100000
2005-04-19,1699.17,2.07,100000
2005-04-20,1699.17,2.07,100000
2005-04-21,1699.17,2.07,100000
2005-04-22,1699.17,2.07,100000
2005-04-23,1699.17,2.07,100000
2005-04-24,1699.17,2.07,100000
2005-04-25,1699.17,2.07,100000
2005-04-26,1699.17,2.07,100000
2005-04-27,1699.17,2.07,100000
2005-04-28,1699.17,2.07,100000
2005-04-29,1699.17,2.07,100000
2005-04-30,1699.17,2.07,100000
2005-05-01,1607.58,0.21,100000
2005-05-02,1607.58,0.21,100000
2005-05-03,1607.58,0.21,100000
2005-05-04,1607.58,0.21,100000
2005-05-05,1607.58,0.21,100000
2005-05-06,1607.58,0.21,100000
2005-05-07,1607.58,0.21,100000
2005-05-08,1607.58,0.21,100000
2005-05-09,1607.58,0.21,100000
2005-05-10,1607.58,0.21,100000
2005-05-11,1607.58,0.21,100000
2005-05-12,1607.58,0.21,100000
2005-05-13,1607.58,0.21,100000
2005-05-14,1607.58,0.21,100000
2005-05-15,1607.58,0.21,100000
2005-05-16,1607.58,0.21,100000
2005-05-17,1607.58,0.21,100000
2005-05-18,1607.58,0.21,100000
2005-05-19,1607.58,0.21,100000
2005-05-20,1607.58,0.21,100000
2005-05-21,1607.58,0.21,100000
2005-05-22,1607.58,0.21,100000
2005-05-23,1607.58,0.21,100000
2005-05-24,1607.58,0.21,100000
2005-05-25,1607.58,0.21,100000
2005-05-26,1607.58,0.21,100000
2005-05-27,1607.58,0.21,100000
2005-05-28,1607.58,0.21,100000
2005-05-29,1607.58,0.21,100000
2005-05-30,1607.58,0.21,100000
2005-05-31,1607.58,0.21,100000
2005-06-01,1815.3,0.44,100000
2005-06-02,1815.3,0.44,100000
2005-06-03,1815.3,0.44,100000
2005-06-04,1815.3,0.44,100000
2005-06-05,1815.3,0.44,100000
2005-06-06,1815.3,0.44,100000
2005-06-07,1815.3,0.44,100000
2005-06-08,1815.3,0.44,100000
2005-06-09,1815.3,0.44,100000
2005-06-10,1815.3,0.44,100000
2005-06-11,1815.3,0.44,100000
2005-06-12,1815.3,0.44,100000
2005-06-13,1815.3,0.44,100000
2005-06-14,1815.3,0.44,100000
2005-06-15,1815.3,0.44,100000
2005-06-16,1815.3,0.44,100000
2005-06-17,1815.3,0.44,100000
2005-06-18,1815.3,0.44,100000
2005-06-19,1815.3,0.44,100000
2005-06-20,1815.3,0.44,100000
2005-06-21,1815.3,0.44,100000
2005-06-22,1815.3,0.44,100000
2005-06-23,1815.3,0.44,100000
2005-06-24,1815.3,0.44,100000
2005-06-25,1815.3,0.44,100000
2005-06-26,1815.3,0.44,100000
2005-06-27,1815.3,0.44,100000
2005-06-28,1815.3,0.44,100000
2005-06-29,1815.3,0.44,100000
2005-06-30,1815.3,0.44,100000
2005-07-01,1750.9,0.33,100000
2005-07-02,1750.9,0.33,100000
2005-07-03,1750.9,0.33,100000
2005-07-04,1750.9,0.33,100000
2005-07-05,1750.9,0.33,100000
2005-07-06,1750.9,0.33,100000
2005-07-07,1750.9,0.33,100000
2005-07-08,1750.9,0.33,100000
2005-07-09,1750.9,0.33,100000
2005-07-10,1750.9,0.33,100000
2005-07-11,1750.9,0.33,100000
2005-07-12,1750.9,0.33,100000
2005-07-13,1750.9,0.33,100000
2005-07-14,1750.9,0.33,100000
2005-07-15,1750.9,0.33,100000
2005-07-16,1750.9,0.33,100000
2005-07-17,1750.9,0.33,100000
2005-07-18,1750.9,0.33,100000
2005-07-19,1750.9,0.33,100000
2005-07-20,1750.9,0.33,100000
2005-07-21,1750.9,0.33,100000
2005-07-22,1750.9,0.33,100000
2005-07-23,1750.9,0.33,100000
2005-07-24,1750.9,0.33,100000
2005-07-25,1750.9,0.33,100000
2005-07-26,1750.9,0.33,100000
2005-07-27,1750.9,0.33,100000
2005-07-28,1750.9,0.33,100000
2005-07-29,1750.9,0.33,100000
2005-07-30,1750.9,0.33,100000
2005-07-31,1750.9,0.33,100000
2005-08-01,1783.65,0.39,100000
2005-08-02,1783.65,0.39,100000
2005-08-03,1783.65,0.39,100000
2005-08-04,1783.65,0.39,100000
2005-08-05,1783.65,0.39,100000
2005-08-06,1783.65,0.39,100000
2005-08-07,1783.65,0.39,100000
2005-08-08,1783.65,0.39,100000
2005-08-09,1783.65,0.39,100000
2005-08-10,1783.65,0.39,100000
2005-08-11,1783.65,0.39,100000
2005-08-12,1783.65,0.39,100000
2005-08-13,1783.65,0.39,100000
2005-08-14,1783.65,0.39,100000
2005-08-15,1783.65,0.39,100000
2005-08-16,1783.65,0.39,100000
2005-08-17,1783.65,0.39,100000
2005-08-18,1783.65,0.39,100000
2005-08-19,1783.65,0.39,100000
2005-08-20,1783.65,0.39,100000
2005-08-21,1783.65,0.39,100000
2005-08-22,1783.65,0.39,100000
2005-08-23,1783.65,0.39,100000
2005-08-24,1783.65,0.39,100000
2005-08-25,1783.65,0.39,100000
2005-08-26,1783.65,0.39,100000
2005-08-27,1783.65,0.39,100000
2005-08-28,1783.65,0.39,100000
2005-08-29,1783.65,0.39,100000
2005-08-30,1783.65,0.39,100000
2005-08-31,1783.65,0.39,100000
2005-09-01,1688.53,0.85,100000
2005-09-02,1688.53,0.85,100000
2005-09-03,1688.53,0.85,100000
2005-09-04,1688.53,0.85,100000
2005-09-05,1688.53,0.85,100000
2005-09-06,1688.53,0.85,100000
2005-09-07,1688.53,0.85,100000
2005-09-08,1688.53,0.85,100000
2005-09-09,1688.53,0.85,100000
2005-09-10,1688.53,0.85,100000
2005-09-11,1688.53,0.85,100000
2005-09-12,1688.53,0.85,100000
2005-09-13,1688.53,0.85,100000
2005-09-14,1688.53,0.85,100000
2005-09-15,1688.53,0.85,100000
2005-09-16,1688.53,0.85,100000
2005-09-17,1688.53,0.85,100000
2005-09-18,1688.53,0.85,100000
2005-09-19,1688.53,0.85,100000
2005-09-20,1688.53,0.85,100000
2005-09-21,1688.53,0.85,100000
2005-09-22,1688.53,0.85,100000
2005-09-23,1688.53,0.85,100000
2005-09-24,1688.53,0.85,100000
2005-09-25,1688.53,0.85,100000
2005-09-26,1688.53,0.85,100000
2005-09-27,1688.53,0.85,100000
2005-09-28,1688.53,0.85,100000
2005-09-29,1688.53,0.85,100000
2005-09-30,1688.53,0.85,100000
2005-10-01,1555.68,1.76,100000
2005-10-02,1555.68,1.76,100000
2005-10-03,1555.68,1.76,100000
2005-10-04,1555.68,1.76,100000
2005-10-05,1555.68,1.76,100000
2005-10-06,1555.68,1.76,100000
2005-10-07,1555.68,1.76,100000
2005-10-08,1555.68,1.76,100000
2005-10-09,1555.68,1.76,100000
2005-10-10,1555.68,1.76,100000
2005-10-11,1555.68,1.76,100000
2005-10-12,1555.68,1.76,100000
2005-10-13,1555.68,1.76,100000
2005-10-14,1555.68,1.76,100000
2005-10-15,1555.68,1.76,100000
2005-10-16,1555.68,1.76,100000
2005-10-17,1555.68,1.76,100000
2005-10-18,1555.68,1.76,100000
2005-10-19,1555.68,1.76,100000
2005-10-20,1555.68,1.76,100000
2005-10-21,1555.68,1.76,100000
2005-10-22,1555.68,1.76,100000
2005-10-23,1555.68,1.76,100000
2005-10-24,1555.68,1.76,100000
2005-10-25,1555.68,1.76,100000
2005-10-26,1555.68,1.76,100000
2005-10-27,1555.68,1.76,100000
2005-10-28,1555.68,1.76,100000
2005-10-29,1555.68,1.76,100000
2005-10-30,1555.68,1.76,100000
2005-10-31,1555.68,1.76,100000
2005-11-01,1708.77,3.34,100000
2005-11-02,1708.77,3.34,100000
2005-11-03,1708.77,3.34,100000
2005-11-04,1708.77,3.34,100000
2005-11-05,1708.77,3.34,100000
2005-11-06,1708.77,3.34,100000
2005-11-07,1708.77,3.34,100000
2005-11-08,1708.77,3.34,100000
2005-11-09,1708.77,3.34,100000
2005-11-10,1708.77,3.34,100000
2005-11-11,1708.77,3.34,100000
2005-11-12,1708.77,3.34,100000
2005-11-13,1708.77,3.34,100000
2005-11-14,1708.77,3.34,100000
2005-11-15,1708.77,3.34,100000
2005-11-16,1708.77,3.34,100000
2005-11-17,1708.77,3.34,100000
2005-11-18,1708.77,3.34,100000
2005-11-19,1708.77,3.34,100000
2005-11-20,1708.77,3.34,100000
2005-11-21,1708.77,3.34,100000
2005-11-22,1708.77,3.34,100000
2005-11-23,1708.77,3.34,100000
2005-11-24,1708.77,3.34,100000
2005-11-25,1708.77,3.34,100000
2005-11-26,1708.77,3.34,100000
2005-11-27,1708.77,3.34,100000
2005-11-28,1708.77,3.34,100000
2005-11-29,1708.77,3.34,100000
2005-11-30,1708.77,3.34,100000
2005-12-01,1814.52,1.64,100000
2005-12-02,1814.52,1.64,100000
2005-12-03,1814.52,1.64,100000
2005-12-04,1814.52,1.64,100000
2005-12-05,1814.52,1.64,100000
2005-12-06,1814.52,1.64,100000
2005-12-07,1814.52,1.64,100000
2005-12-08,1814.52,1.64,100000
2005-12-09,1814.52,1.64,100000
2005-12-10,1814.52,1.64,100000
2005-12-11,1814.52,1.64,100000
2005-12-12,1814.52,1.64,100000
2005-12-13,1814.52,1.64,100000
2005-12-14,1814.52,1.64,100000
2005-12-15,1814.52,1.64,100000
2005-12-16,1814.52,1.64,100000
2005-12-17,1814.52,1.64,100000
2005-12-18,1814.52,1.64,100000
2005-12-19,1814.52,1.64,100000
2005-12-20,1814.52,1.64,100000
2005-12-21,1814.52,1.64,100000
2005-12-22,1814.52,1.64,100000
2005-12-23,1814.52,1.64,100000
2005-12-24,1814.52,1.64,100000
2005-12-25,1814.52,1.64,100000
2005-12-26,1814.52,1.64,100000
2005-12-27,1814.52,1.64,100000
2005-12-28,1814.52,1.64,100000
2005-12-29,1814.52,1.64,100000
2005-12-30,1814.52,1.64,100000
2005-12-31,1814.52,1.64,100000
2006-01-01,1442.39,3.3,105000
2006-01-02,1442.39,3.3,105000
2006-01-03,1442.39,3.3,105000
2006-01-04,1442.39,3.3,105000
2006-01-05,1442.39,3.3,105000
2006-01-06,1442.39,3.3,105000
2006-01-07,1442.39,3.3,105000
2006-01-08,1442.39,3.3,105000
2006-01-09,1442.39,3.3,105000
2006-01-10,1442.39,3.3,105000
2006-01-11,1442.39,3.3,105000
2006-01-12,1442.39,3.3,105000
2006-01-13,1442.39,3.3,105000
2006-01-14,1442.39,3.3,105000
2006-01-15,1442.39,3.3,105000
2006-01-16,1442.39,3.3,105000
2006-01-17,1442.39,3.3,105000
2006-01-18,1442.39,3.3,105000
2006-01-19,1442.39,3.3,105000
2006-01-20,1442.39,3.3,105000
2006-01-21,1442.39,3.3,105000
2006-01-22,1442.39,3.3,105000
2006-01-23,1442.39,3.3,105000
2006-01-24,1442.39,3.3,105000
2006-01-25,1442.39,3.3,105000
2006-01-26,1442.39,3.3,105000
2006-01-27,1442.39,3.3,105000
2006-01-28,1442.39,3.3,105000
2006-01-29,1442.39,3.3,105000
2006-01-30,1442.39,3.3,105000
2006-01-31,1442.39,3.3,105000
2006-02-01,1663.61,3.68,105000
2006-02-02,1663.61,3.68,105000
2006-02-03,1663.61,3.68,105000
2006-02-04,1663.61,3.68,105000
2006-02-05,1663.61,3.68,105000
2006-02-06,1663.61,3.68,105000
2006-02-07,1663.61,3.68,105000
2006-02-08,1663.61,3.68,105000
2006-02-09,1663.61,3.68,105000
2006-02-10,1663.61,3.68,105000
2006-02-11,1663.61,3.68,105000
2006-02-12,1663.61,3.68,105000
2006-02-13,1663.61,3.68,105000
2006-02-14,1663.61,3.68,105000
2006-02-15,1663.61,3.68,105000
2006-02-16,1663.61,3.68,105000
2006-02-17,1663.61,3.68,105000
2006-02-18,1663.61,3.68,105000
2006-02-19,1663.61,3.68,105000
2006-02-20,1663.61,3.68,105000
2006-02-21,1663.61,3.68,105000
2006-02-22,1663.61,3.68,105000
2006-02-23,1663.61,3.68,105000
2006-02-24,1663.61,3.68,105000
2006-02-25,1663.61,3.68,105000
2006-02-26,1663.61,3.68,105000
2006-02-27,1663.61,3.68,105000
2006-02-28,1663.61,3.68,105000
2006-03-01,1520.87,3.74,105000
2006-03-02,1520.87,3.74,105000
2006-03-03,1520.87,3.74,105000
2006-03-04,1520.87,3.74,105000
2006-03-05,1520.87,3.74,105000
2006-03-06,1520.87,3.74,105000
2006-03-07,1520.87,3.74,105000
2006-03-08,1520.87,3.74,105000
2006-03-09,1520.87,3.74,105000
2006-03-10,1520.87,3.74,105000
2006-03-11,1520.87,3.74,105000
2006-03-12,1520.87,3.74,105000
2006-03-13,1520.87,3.74,105000
2006-03-14,1520.87,3.74,105000
2006-03-15,1520.87,3.74,105000
2006-03-16,1520.87,3.74,105000
2006-03-17,1520.87,3.74,105000
2006-03-18,1520.87,3.74,105000
2006-03-19,1520.87,3.74,105000
2006-03-20,1520.87,3.74,105000
2006-03-21,1520.87,3.74,105000
2006-03-22,1520.87,3.74,105000
2006-03-23,1520.87,3.74,105000
2006-03-24,1520.87,3.74,105000
2006-03-25,1520.87,3.74,105000
2006-03-26,1520.87,3.74,105000
2006-03-27,1520.87,3.74,105000
2006-03-28,1520.87,3.74,105000
2006-03-29,1520.87,3.74,105000
2006-03-30,1520.87,3.74,105000
2006-03-31,1520.87,3.74,105000
2006-04-01,1729.3,3.73,105000
2006-04-02,1729.3,3.73,105000
2006-04-03,1729.3,3.73,105000
2006-04-04,1729.3,3.73,105000
2006-04-05,1729.3,3.73,105000
2006-04-06,1729.3,3.73,105000
2006-04-07,1729.3,3.73,105000
2006-04-08,1729.3,3.73,105000
2006-04-09,1729.3,3.73,105000
2006-04-10,1729.3,3.73,105000
2006-04-11,1729.3,3.73,105000
2006-04-12,1729.3,3.73,105000
2006-04-13,1729.3,3.73,105000
2006-04-14,1729.3,3.73,105000
2006-04-15,1729.3,3.73,105000
2006-04-16,1729.3,3.73,105000
2006-04-17,1729.3,3.73,105000
2006-04-18,1729.3,3.73,105000
2006-04-19,1729.3,3.73,105000
2006-04-20,1729.3,3.73,105000
2006-04-21,1729.3,3.73,105000
2006-04-22,1729.3,3.73,105000
2006-04-23,1729.3,3.73,105000
2006-04-24,1729.3,3.73,105000
2006-04-25,1729.3,3.73,105000
2006-04-26,1729.3,3.73,105000
2006-04-27,1729.3,3.73,105000
2006-04-28,1729.3,3.73,105000
2006-04-29,1729.3,3.73,105000
2006-04-30,1729.3,3.73,105000
2006-05-01,1632.35,0.53,105000
2006-05-02,1632.35,0.53,105000
2006-05-03,1632.35,0.53,105000
2006-05-04,1632.35,0.53,105000
2006-05-05,1632.35,0.53,105000
2006-05-06,1632.35,0.53,105000
2006-05-07,1632.35,0.53,105000
2006-05-08,1632.35,0.53,105000
2006-05-09,1632.35,0.53,105000
2006-05-10,1632.35,0.53,105000
2006-05-11,1632.35,0.53,105000
2006-05-12,1632.35,0.53,105000
2006-05-13,1632.35,0.53,105000
2006-05-14,1632.35,0.53,105000
2006-05-15,1632.35,0.53,105000
2006-05-16,1632.35,0.53,105000
2006-05-17,1632.35,0.53,105000
2006-05-18,1632.35,0.53,105000
2006-05-19,1632.35,0.53,105000
2006-05-20,1632.35,0.53,105000
2006-05-21,1632.35,0.53,105000
2006-05-22,1632.35,0.53,105000
2006-05-23,1632.35,0.53,105000
2006-05-24,1632.35,0.53,105000
2006-05-25,1632.35,0.53,105000
2006-05-26,1632.35,0.53,105000
2006-05-27,1632.35,0.53,105000
2006-05-28,1632.35,0.53,105000
2006-05-29,1632.35,0.53,105000
2006-05-30,1632.35,0.53,105000
2006-05-31,1632.35,0.53,105000
2006-06-01,1917.8,0.37,105000
2006-06-02,1917.8,0.37,105000
2006-06-03,1917.8,0.37,105000
2006-06-04,1917.8,0.37,105000
2006-06-05,1917.8,0.37,105000
2006-06-06,1917.8,0.37,105000
2006-06-07,1917.8,0.37,105000
2006-06-08,1917.8,0.37,105000
2006-06-09,1917.8,0.37,105000
2006-06-10,1917.8,0.37,105000
2006-06-11,1917.8,0.37,105000
2006-06-12,1917.8,0.37,105000
2006-06-13,1917.8,0.37,105000
2006-06-14,1917.8,0.37,105000
2006-06-15,1917.8,0.37,105000
2006-06-16,1917.8,0.37,105000
2006-06-17,1917.8,0.37,105000
2006-06-18,1917.8,0.37,105000
2006-06-19,1917.8,0.37,105000
2006-06-20,1917.8,0.37,105000
2006-06-21,1917.8,0.37,105000
2006-06-22,1917.8,0.37,105000
2006-06-23,1917.8,0.37,105000
2006-06-24,1917.8,0.37,105000
2006-06-25,1917.8,0.37,105000
2006-06-26,1917.8,0.37,105000
2006-06-27,1917.8,0.37,105000
2006-06-28,1917.8,0.37,105000
2006-06-29,1917.8,0.37,105000
2006-06-30,1917.8,0.37,105000
2006-07-01,1898.45,0.94,105000
2006-07-02,1898.45,0.94,105000
2006-07-03,1898.45,0.94,105000
2006-07-04,1898.45,0.94,105000
2006-07-05,1898.45,0.94,105000
2006-07-06,1898.45,0.94,105000
2006-07-07,1898.45,0.94,105000
2006-07-08,1898.45,0.94,105000
2006-07-09,1898.45,0.94,105000
2006-07-10,1898.45,0.94,105000
2006-07-11,1898.45,0.94,105000
2006-07-12,1898.45,0.94,105000
2006-07-13,1898.45,0.94,105000
2006-07-14,1898.45,0.94,105000
2006-07-15,1898.45,0.94,105000
2006-07-16,1898.45,0.94,105000
2006-07-17,1898.45,0.94,105000
2006-07-18,1898.45,0.94,105000
2006-07-19,1898.45,0.94,105000
2006-07-20,1898.45,0.94,105000
2006-07-21,1898.45,0.94,105000
2006-07-22,1898.45,0.94,105000
2006-07-23,1898.45,0.94,105000
2006-07-24,1898.45,0.94,105000
2006-07-25,1898.45,0.94,105000
2006-07-26,1898.45,0.94,105000
2006-07-27,1898.45,0.94,105000
2006-07-28,1898.45,0.94,105000
2006-07-29,1898.45,0.94,105000
2006-07-30,1898.45,0.94,105000
2006-07-31,1898.45,0.94,105000
2006-08-01,1859.74,0.9,105000
2006-08-02,1859.74,0.9,105000
2006-08-03,1859.74,0.9,105000
2006-08-04,1859.74,0.9,105000
2006-08-05,1859.74,0.9,105000
2006-08-06,1859.74,0.9,105000
2006-08-07,1859.74,0.9,105000
2006-08-08,1859.74,0.9,105000
2006-08-09,1859.74,0.9,105000
2006-08-10,1859.74,0.9,105000
2006-08-11,1859.74,0.9,105000
2006-08-12,1859.74,0.9,105000
2006-08-13,1859.74,0.9,105000
2006-08-14,1859.74,0.9,105000
2006-08-15,1859.74,0.9,105000
2006-08-16,1859.74,0.9,105000
2006-08-17,1859.74,0.9,105000
2006-08-18,1859.74,0.9,105000
2006-08-19,1859.74,0.9,105000
2006-08-20,1859.74,0.9,105000
2006-08-21,1859.74,0.9,105000
2006-08-22,1859.74,0.9,105000
2006-08-23,1859.74,0.9,105000
2006-08-24,1859.74,0.9,105000
2006-08-25,1859.74,0.9,105000
2006-08-26,1859.74,0.9,105000
2006-08-27,1859.74,0.9,105000
2006-08-28,1859.74,0.9,105000
2006-08-29,1859.74,0.9,105000
2006-08-30,1859.74,0.9,105000
2006-08-31,1859.74,0.9,105000
2006-09-01,1642.47,0.36,105000
2006-09-02,1642.47,0.36,105000
2006-09-03,1642.47,0.36,105000
2006-09-04,1642.47,0.36,105000
2006-09-05,1642.47,0.36,105000
2006-09-06,1642.47,0.36,105000
2006-09-07,1642.47,0.36,105000
2006-09-08,1642.47,0.36,105000
2006-09-09,1642.47,0.36,105000
2006-09-10,1642.47,0.36,105000
2006-09-11,1642.47,0.36,105000
2006-09-12,1642.47,0.36,105000
2006-09-13,1642.47,0.36,105000
2006-09-14,1642.47,0.36,105000
2006-09-15,1642.47,0.36,105000
2006-09-16,1642.47,0.36,105000
2006-09-17,1642.47,0.36,105000
2006-09-18,1642.47,0.36,105000
2006-09-19,1642.47,0.36,105000
2006-09-20,1642.47,0.36,105000
2006-09-21,1642.47,0.36,105000
2006-09-22,1642.47,0.36,105000
2006-09-23,1642.47,0.36,105000
2006-09-24,1642.47,0.36,105000
2006-09-25,1642.47,0.36,105000
2006-09-26,1642.47,0.36,105000
2006-09-27,1642.47,0.36,105000
2006-09-28,1642.47,0.36,105000
2006-09-29,1642.47,0.36,105000
2006-09-30,1642.47,0.36,105000
2006-10-01,1622.87,2.88,105000
2006-10-02,1622.87,2.88,105000
2006-10-03,1622.87,2.88,105000
2006-10-04,1622.87,2.88,105000
2006-10-05,1622.87,2.88,105000
2006-10-06,1622.87,2.88,105000
2006-10-07,1622.87,2.88,105000
2006-10-08,1622.87,2.88,105000
2006-10-09,1622.87,2.88,105000
2006-10-10,1622.87,2.88,105000
2006-10-11,1622.87,2.88,105000
2006-10-12,1622.87,2.88,105000
2006-10-13,1622.87,2.88,105000
2006-10-14,1622.87,2.88,105000
2006-10-15,1622.87,2.88,105000
2006-10-16,1622.87,2.88,105000
2006-10-17,1622.87,2.88,105000
2006-10-18,1622.87,2.88,105000
2006-10-19,1622.87,2.88,105000
2006-10-20,1622.87,2.88,105000
2006-10-21,1622.87,2.88,105000
2006-10-22,1622.87,2.88,105000
2006-10-23,1622.87,2.88,105000
2006-10-24,1622.87,2.88,105000
2006-10-25,1622.87,2.88,105000
2006-10-26,1622.87,2.88,105000
2006-10-27,1622.87,2.88,105000
2006-10-28,1622.87,2.88,105000
2006-10-29,1622.87,2.88,105000
2006-10-30,1622.87,2.88,105000
2006-10-31,1622.87,2.88,105000
2006-11-01,1667.7,1.77,105000
2006-11-02,1667.7,1.77,105000
2006-11-03,1667.7,1.77,105000
2006-11-04,1667.7,1.77,105000
2006-11-05,1667.7,1.77,105000
2006-11-06,1667.7,1.77,105000
2006-11-07,1667.7,1.77,105000
2006-11-08,1667.7,1.77,105000
2006-11-09,1667.7,1.77,105000
2006-11-10,1667.7,1.77,105000
2006-11-11,1667.7,1.77,105000
2006-11-12,1667.7,1.77,105000
2006-11-13,1667.7,1.77,105000
2006-11-14,1667.7,1.77,105000
2006-11-15,1667.7,1.77,105000
2006-11-16,1667.7,1.77,105000
2006-11-17,1667.7,1.77,105000
2006-11-18,1667.7,1.77,105000
2006-11-19,1667.7,1.77,105000
2006-11-20,1667.7,1.77,105000
2006-11-21,1667.7,1.77,105000
2006-11-22,1667.7,1.77,105000
2006-11-23,1667.7,1.77,105000
2006-11-24,1667.7,1.77,105000
2006-11-25,1667.7,1.77,105000
2006-11-26,1667.7,1.77,105000
2006-11-27,1667.7,1.77,105000
2006-11-28,1667.7,1.77,105000
2006-11-29,1667.7,1.77,105000
2006-11-30,1667.7,1.77,105000
2006-12-01,1831.13,2.99,105000
2006-12-02,1831.13,2.99,105000
2006-12-03,1831.13,2.99,105000
2006-12-04,1831.13,2.99,105000
2006-12-05,1831.13,2.99,105000
2006-12-06,1831.13,2.99,105000
2006-12-07,1831.13,2.99,105000
2006-12-08,1831.13,2.99,105000
2006-12-09,1831.13,2.99,105000
2006-12-10,1831.13,2.99,105000
2006-12-11,1831.13,2.99,105000
2006-12-12,1831.13,2.99,105000
2006-12-13,1831.13,2.99,105000
2006-12-14,1831.13,2.99,105000
2006-12-15,1831.13,2.99,105000
2006-12-16,1831.13,2.99,105000
2006-12-17,1831.13,2.99,105000
2006-12-18,1831.13,2.99,105000
2006-12-19,1831.13,2.99,105000
2006-12-20,1831.13,2.99,105000
2006-12-21,1831.13,2.99,105000
2006-12-22,1831.13,2.99,105000
2006-12-23,1831.13,2.99,105000
2006-12-24,1831.13,2.99,105000
2006-12-25,1831.13,2.99,105000
2006-12-26,1831.13,2.99,105000
2006-12-27,1831.13,2.99,105000
2006-12-28,1831.13,2.99,105000
2006-12-29,1831.13,2.99,105000
2006-12-30,1831.13,2.99,105000
2006-12-31,1831.13,2.99,105000
2007-01-01,1628.52,2.79,110250
2007-01-02,1628.52,2.79,110250
2007-01-03,1628.52,2.79,110250
